metric,objective,cost_aware,config,network,category,value
Energy,energy,False,Full Fengshui,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2727417917439938
Energy,energy,False,Full Fengshui,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.0845555207317155
Energy,energy,False,Full Fengshui,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002196173006030053
Energy,energy,False,Full Fengshui,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01716722542798486
Energy,energy,False,Full Fengshui,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0409629392838502
Energy,energy,False,Full Fengshui,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,7.960413457855175
Energy,energy,False,Full Fengshui,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006443678620006838
Energy,energy,False,Full Fengshui,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05172511969294963
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.039363922614758025
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3134841295398976
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003786602613160759
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.02334163184616802
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.12745077978141128
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.013838024770751
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010796570463193383
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.0838735311475229
Energy,energy,False,Full Fengshui,mobilenet_v3_small_b1_seq1,cnn,4.896642643368916e-05
Energy,energy,False,Full Fengshui,mobilenet_v3_small_b8_seq1,cnn,0.00037465701495849703
Energy,energy,False,Full Fengshui,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,Full Fengshui,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2754247815128106
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.0845555207317155
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022345044545765084
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01732300086797476
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.047209022508439
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,7.964712212219989
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006541431235373038
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05202959268399968
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.040049577218545976
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3134841295398976
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.004104445479207627
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023371924954163018
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.12908263339528253
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.013838024770751
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010875049006617813
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.0839514188675329
Energy,energy,False,w/o Heterogeneous Batching,mobilenet_v3_small_b1_seq1,cnn,4.896642643368916e-05
Energy,energy,False,w/o Heterogeneous Batching,mobilenet_v3_small_b8_seq1,cnn,0.00037465701495849703
Energy,energy,False,w/o Heterogeneous Batching,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,w/o Heterogeneous Batching,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2813402723164619
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1142826733717164
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002196173006030053
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017496950563277717
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0676996612038496
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.057081329087174
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006443678620006838
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05172511969294963
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.0426167816998466
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.34217409202226495
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.0051581598080718445
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.03026106629312621
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.1345304958225593
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.074380886068042
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.01402485017341367
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11193653493564944
Energy,energy,False,w/o Heterogeneous Memory,mobilenet_v3_small_b1_seq1,cnn,5.4474778433689165e-05
Energy,energy,False,w/o Heterogeneous Memory,mobilenet_v3_small_b8_seq1,cnn,0.00040537330295839697
Energy,energy,False,w/o Heterogeneous Memory,replknet31b_b1_seq1,cnn,0.00283371798970525
Energy,energy,False,w/o Heterogeneous Memory,replknet31b_b8_seq1,cnn,0.020925880679141633
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2770199649367484
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.148948065175297
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002196173006030053
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01716722542798486
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0409629392838502
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.335033203708049
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006443678620006838
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05172511969294963
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04259114792471479
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3250507730385761
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003786602613160759
