metric,config,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm
Energy,Full Fengshui,0.03501519238210304,1.0,1.0,1.0,1.0
Energy,w/o Heterogeneous Batching,0.035338170278856926,1.0092239360912085,1.0173145548517082,1.005804553940414,1.0
Energy,w/o Heterogeneous Memory,0.03822360541537537,1.0916291705114896,1.1528623558295659,1.0462451149801801,1.0655009919809293
Energy,w/o Tensor Parallelism,0.03548018384241485,1.013279705998402,1.00004980969114,1.0334791757050856,1.0
Energy,w/o Layer Fusion,0.03848062792305819,1.09896948453513,1.0111723532055987,1.0041267444116373,1.5548937726424117
Energy,w/o Near-bank PIM,0.04510306769243556,1.2880999538785523,1.8831022908411439,1.0,1.0
Energy x Cost,Full Fengshui,4.233228419215886,1.0,1.0,1.0,1.0
Energy x Cost,w/o Heterogeneous Batching,4.241205899820516,1.0018844909403937,1.002597097009434,1.0021152974985723,1.0
Energy x Cost,w/o Heterogeneous Memory,5.811183585694917,1.3727545528410945,1.0347713287242297,1.5513793930921842,1.8916450713672015
Energy x Cost,w/o Tensor Parallelism,4.233228419215886,1.0,1.0,1.0,1.0
Energy x Cost,w/o Layer Fusion,4.884445419446388,1.1538345999177444,1.011820805768911,1.030533789061889,1.8809883555502576
Energy x Cost,w/o Near-bank PIM,5.889171878533572,1.3911774407922013,2.281136312211874,1.0007027161244906,1.0
EDP,Full Fengshui,6.895232852405852e-06,1.0,1.0,1.0,1.0
EDP,w/o Heterogeneous Batching,6.931398405462147e-06,1.0052450082296607,1.007641083369566,1.0054811815594156,1.0
EDP,w/o Heterogeneous Memory,1.0912984207683913e-05,1.5826853771698524,1.6835635042969832,1.8066218554118982,1.0734440774814074
EDP,w/o Tensor Parallelism,9.737691439311038e-06,1.4122353295020933,1.1952251623130559,1.9829782571702603,1.0
EDP,w/o Layer Fusion,7.20898797821208e-06,1.0455031951091767,1.0141280013939662,1.003488368924202,1.2061923981585045
EDP,w/o Near-bank PIM,1.6132611128053183e-05,2.3396760447943783,8.37315867196958,1.0,1.0
EDP x Cost,Full Fengshui,0.0016174076090474355,1.0,1.0,1.0,1.0
EDP x Cost,w/o Heterogeneous Batching,0.0016181684469076558,1.000470405762879,1.0025655400221158,0.9986144440198942,1.0
EDP x Cost,w/o Heterogeneous Memory,0.0018300644489664196,1.131480054087434,1.0235885693297482,1.115443415031355,1.4226188863942175
EDP x Cost,w/o Tensor Parallelism,0.0017449002208820858,1.0788252825827476,1.0766063153757577,1.122847732307323,1.0
EDP x Cost,w/o Layer Fusion,0.0016913489848118567,1.0457159811483567,1.0242661706587697,0.9999203105054753,1.1920989014984325
EDP x Cost,w/o Near-bank PIM,0.005004359828757934,3.0940622516949996,16.84695885722251,0.9995421278035577,1.0
