metric,config,mem,batch,tp,fusion,n_disabled,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm
Energy,Full Fengshui,1,1,1,1,0,0.03492755385851297,1.0,1.0,1.0,1.0
Energy,w/o Mem,0,1,1,1,1,0.038400048570316765,1.0994199229030017,1.150066270574513,1.0666638957873096,1.0673751545087475
Energy,w/o Batch,1,0,1,1,1,0.03511931222960062,1.0054901746587934,1.0078142331350919,1.0059214994962766,1.0
Energy,w/o Tp,1,1,0,1,1,0.03546958796648184,1.015518811027093,1.0,1.0392497560699563,1.0
Energy,w/o Fusion,1,1,1,0,1,0.03839560907292398,1.099292817025196,1.0115108601202547,1.0075005315728875,1.5457358633027884
Energy,w/o Mem+Batch,0,0,1,1,2,0.03861160431150624,1.105476909946711,1.159133404785705,1.0729567672278897,1.0673751545087475
Energy,w/o Mem+Tp,0,1,0,1,2,0.03897489418522829,1.1158781500448205,1.150066270574513,1.1070328879058844,1.0673751545087475
Energy,w/o Mem+Fusion,0,1,1,0,2,0.04278832535708818,1.2250593193676884,1.1603224372168872,1.0833615561086443,1.7461492878020883
Energy,w/o Batch+Tp,1,0,0,1,2,0.035661605851538374,1.0210164157501254,1.0078142331350919,1.0452046282634062,1.0
Energy,w/o Batch+Fusion,1,0,1,0,2,0.038608006912864194,1.1053739139379835,1.019534716370085,1.0134524292577232,1.5457358633027884
Energy,w/o Tp+Fusion,1,1,0,0,2,0.03899671060450531,1.1165027692026752,1.0115108601202547,1.0473969859496912,1.5457358633027884
Energy,w/o Mem+Batch+Tp,0,0,0,1,3,0.03918460898272684,1.1218824295986674,1.159133404785705,1.113208206689245,1.0673751545087475
Energy,w/o Mem+Batch+Fusion,0,0,1,0,3,0.04302080021434527,1.2317152351583796,1.1693469744128775,1.0896617375253388,1.7461492878020883
Energy,w/o Mem+Tp+Fusion,0,1,0,0,3,0.043412231259779006,1.2429221764466065,1.1603224372168872,1.1232863107057462,1.7461492878020883
Energy,w/o Batch+Tp+Fusion,1,0,0,0,3,0.03920944764873131,1.122593577768536,1.019534716370085,1.0533840135375419,1.5457358633027884
Energy,w/o Mem+Batch+Tp+Fusion,0,0,0,0,4,0.04364251823284258,1.2495154516011286,1.1693469744128775,1.1294577653555322,1.7461492878020883
Energy x Cost,Full Fengshui,1,1,1,1,0,4.2379104115964426,1.0,1.0,1.0,1.0
Energy x Cost,w/o Mem,0,1,1,1,1,5.796428988507965,1.3677563765026408,1.0347999253628015,1.5409429743730667,1.8825990234941035
Energy x Cost,w/o Batch,1,0,1,1,1,4.245953380283438,1.001897861895567,1.0025950229134,1.0021508060947,1.0
Energy x Cost,w/o Tp,1,1,0,1,1,4.2379104115964426,1.0,1.0,1.0,1.0
Energy x Cost,w/o Fusion,1,1,1,0,1,4.911475940423713,1.1589381236054812,1.0115822244461734,1.038446782925959,1.894656035359297
Energy x Cost,w/o Mem+Batch,0,0,1,1,2,5.805345515575894,1.369860367904519,1.037453572970652,1.5429191431273137,1.8825990234941035
Energy x Cost,w/o Mem+Tp,0,1,0,1,2,5.800568765869107,1.3687332205033573,1.0347999253628015,1.5436957805535505,1.8825990234941035
Energy x Cost,w/o Mem+Fusion,0,1,1,0,2,6.427965495399636,1.516777107371222,1.0467852103552369,1.5593590305469727,3.0130159510987733
Energy x Cost,w/o Batch+Tp,1,0,0,1,2,4.245953380283438,1.001897861895567,1.0025950229134,1.0021508060947,1.0
Energy x Cost,w/o Batch+Fusion,1,0,1,0,2,4.920672933675958,1.1611082953078082,1.0141837162747105,1.0406387592912971,1.894656035359297
Energy x Cost,w/o Tp+Fusion,1,1,0,0,2,4.914318481846177,1.1596088648780398,1.0115822244461734,1.039949950936898,1.894656035359297
Energy x Cost,w/o Mem+Batch+Tp,0,0,0,1,3,5.809491620304431,1.3708387049446773,1.037453572970652,1.5456754525038674,1.8825990234941035
Energy x Cost,w/o Mem+Batch+Fusion,0,0,1,0,3,6.437785023873965,1.5190941758131264,1.0494451857943587,1.5613536095823581,3.0130159510987733
Energy x Cost,w/o Mem+Tp+Fusion,0,1,0,0,3,6.445699672345986,1.5209617585846649,1.0467852103552369,1.5701366227554299,3.0130159510987733
Energy x Cost,w/o Batch+Tp+Fusion,1,0,0,0,3,4.923516178116027,1.1617792024681601,1.0141837162747105,1.0421426555863555,1.894656035359297
Energy x Cost,w/o Mem+Batch+Tp+Fusion,0,0,0,0,4,6.455546129212481,1.5232851811939656,1.0494451857943587,1.57214488831005,3.0130159510987733
EDP,Full Fengshui,1,1,1,1,0,6.828832441146392e-06,1.0,1.0,1.0,1.0
EDP,w/o Mem,0,1,1,1,1,1.1393961111720206e-05,1.668507934543411,1.6703406845222968,2.079980342148169,1.0713041855346652
EDP,w/o Batch,1,0,1,1,1,6.864914402656159e-06,1.005283767294151,1.0075764092393993,1.0056426506519744,1.0
EDP,w/o Tp,1,1,0,1,1,9.49836897588906e-06,1.3909213701975853,1.1779540541259412,1.9369932087238473,1.0
EDP,w/o Fusion,1,1,1,0,1,7.122213104767263e-06,1.04296205334504,1.013934498346294,1.0022804088416377,1.1949349261468096
EDP,w/o Mem+Batch,0,0,1,1,2,1.1449590969941413e-05,1.676654255118802,1.6821869429243335,2.0906345827923296,1.0713041855346652
EDP,w/o Mem+Tp,0,1,0,1,2,1.3035923532581818e-05,1.9089534916738138,1.995449283829024,2.4377618381963284,1.0713041855346652
EDP,w/o Mem+Fusion,0,1,1,0,2,1.1901581534459749e-05,1.742842812008105,1.6943679636576057,2.0869574010175147,1.2860222026621044
EDP,w/o Batch+Tp,1,0,0,1,2,9.549200701214489e-06,1.3983650621849808,1.187361525178519,1.947459521954513,1.0
EDP,w/o Batch+Fusion,1,0,1,0,2,7.159565844148836e-06,1.0484319107040385,1.0215168860917594,1.0079358669940677,1.1949349261468096
EDP,w/o Tp+Fusion,1,1,0,0,2,9.885611615418546e-06,1.447628375804605,1.1862913344539256,1.944371438218877,1.1949349261468096
EDP,w/o Mem+Batch+Tp,0,0,0,1,3,1.3100773106896767e-05,1.918449928271702,2.0104170880830057,2.4498167716924337,1.0713041855346652
EDP,w/o Mem+Batch+Fusion,0,0,1,0,3,1.1959174617467945e-05,1.7512766231324157,1.7062170751191301,2.0976274574297857,1.2860222026621044
EDP,w/o Mem+Tp+Fusion,0,1,0,0,3,1.356889755885624e-05,1.9870010980351946,2.0050668211938945,2.4476098028437887,1.2860222026621044
EDP,w/o Batch+Tp+Fusion,1,0,0,0,3,9.938279143193708e-06,1.4553408988792405,1.1956964432703376,1.9548740017397044,1.1949349261468096
EDP,w/o Mem+Batch+Tp+Fusion,0,0,0,0,4,1.3636178657174991e-05,1.9968536019439678,2.020029868068876,2.459707927230511,1.2860222026621044
EDP x Cost,Full Fengshui,1,1,1,1,0,0.001637325190907304,1.0,1.0,1.0,1.0
EDP x Cost,w/o Mem,0,1,1,1,1,0.0018570030832377198,1.134168761068584,1.0235885693297482,1.12483531539853,1.4156622942986183
EDP x Cost,w/o Batch,1,0,1,1,1,0.0016398847852344362,1.0015632779250856,1.0025655400221158,1.0013437906316012,1.0
EDP x Cost,w/o Tp,1,1,0,1,1,0.0018509303346286319,1.1304598163563104,1.0734290286943078,1.2657982408833832,1.0
EDP x Cost,w/o Fusion,1,1,1,0,1,0.001714608207042998,1.0472007738993305,1.0174532031344792,1.004482795372197,1.2056906152607576
EDP x Cost,w/o Mem+Batch,0,0,1,1,2,0.001859751569802272,1.1358474053475676,1.0261898266272373,1.126140139291243,1.4156622942986183
EDP x Cost,w/o Mem+Tp,0,1,0,1,2,0.0021734218581540067,1.3274222312243489,1.0987496837582276,1.552902257917022,1.4156622942986183
EDP x Cost,w/o Mem+Fusion,0,1,1,0,2,0.0019409369204573563,1.185431538729218,1.041453468556391,1.1317008738418664,1.6851530237098973
EDP x Cost,w/o Batch+Tp,1,0,0,1,2,0.0018540171666902058,1.1323451058997172,1.076375761014404,1.267602564467053,1.0
EDP x Cost,w/o Batch+Fusion,1,0,1,0,2,0.0017172800552571726,1.0488326111354596,1.0200508117233025,1.005832605446598,1.2056906152607576
EDP x Cost,w/o Tp+Fusion,1,1,0,0,2,0.0019420659141774856,1.1861210741534571,1.0816524198224329,1.290080732574513,1.2056906152607576
EDP x Cost,w/o Mem+Batch+Tp,0,0,0,1,3,0.002176843018262354,1.329511712365509,1.1017392993147999,1.554790024224754,1.4156622942986183
EDP x Cost,w/o Mem+Batch+Fusion,0,0,1,0,3,0.0019437998175963723,1.1871800595208817,1.0440871183446196,1.1330134719894631,1.6851530237098973
EDP x Cost,w/o Mem+Tp+Fusion,0,1,0,0,3,0.002272137485589067,1.3877130201178844,1.1071670529181041,1.5783973098598867,1.6851530237098973
EDP x Cost,w/o Batch+Tp+Fusion,1,0,0,0,3,0.0019452989270229727,1.1880956439355879,1.0846136829980173,1.2919196078135695,1.2056906152607576
EDP x Cost,w/o Mem+Batch+Tp+Fusion,0,0,0,0,4,0.002275706833052156,1.389893007015363,1.1101713383134157,1.5803152892693255,1.6851530237098973
