metric,config,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm
Energy,Full Fengshui,0.05162692840344393,1.0,1.0,1.0,1.0
Energy,w/o Heterogeneous Memory,0.09100592666382011,1.7627608203347866,4.125565370092926,1.0,1.0
Energy,homo GDDR7 (PIM kept),0.053707322550157074,1.0402966864589676,1.0316257109509608,1.045608923446346,1.0471362616196846
Energy x Cost,Full Fengshui,5.699492915874694,1.0,1.0,1.0,1.0
Energy x Cost,w/o Heterogeneous Memory,1331.1608933941238,233.55777663771906,453.7778393319225,139.7166606370155,172.89749525193005
Energy x Cost,homo GDDR7 (PIM kept),8.13451879530942,1.4272355304894744,1.0340254964649176,1.6867241418304473,1.9468281931545683
EDP,Full Fengshui,1.0074675420613363e-05,1.0,1.0,1.0,1.0
EDP,w/o Heterogeneous Memory,3.362636171340053e-05,3.337711669062714,20.35270054286749,1.0,1.0
EDP,homo GDDR7 (PIM kept),1.50833605821705e-05,1.4971559829420489,1.4733945233823407,1.815509925516625,1.051235196830858
EDP x Cost,Full Fengshui,0.0021973826338349384,1.0,1.0,1.0,1.0
EDP x Cost,w/o Heterogeneous Memory,0.5068564094307834,230.66370036164446,1323.93050531186,56.49583396482215,116.71671293518615
EDP x Cost,homo GDDR7 (PIM kept),0.002527360134389186,1.1501684301465336,1.017460834340395,1.1608832260710513,1.4427621525813779
