metric,config,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm
Energy,Full Fengshui,0.03492755385851297,1.0,1.0,1.0,1.0
Energy,w/o Heterogeneous Batching,0.03511931222960062,1.0054901746587934,1.0078142331350919,1.0059214994962766,1.0
Energy,w/o Heterogeneous Memory,0.038400048570316765,1.0994199229030017,1.150066270574513,1.0666638957873096,1.0673751545087475
Energy,w/o Tensor Parallelism,0.03546958796648184,1.015518811027093,1.0,1.0392497560699563,1.0
Energy,w/o Layer Fusion,0.03839560907292398,1.099292817025196,1.0115108601202547,1.0075005315728875,1.5457358633027884
Energy x Cost,Full Fengshui,4.2379104115964426,1.0,1.0,1.0,1.0
Energy x Cost,w/o Heterogeneous Batching,4.245953380283438,1.001897861895567,1.0025950229134,1.0021508060947,1.0
Energy x Cost,w/o Heterogeneous Memory,5.796428988507965,1.3677563765026408,1.0347999253628015,1.5409429743730667,1.8825990234941035
Energy x Cost,w/o Tensor Parallelism,4.2379104115964426,1.0,1.0,1.0,1.0
Energy x Cost,w/o Layer Fusion,4.911475940423713,1.1589381236054812,1.0115822244461734,1.038446782925959,1.894656035359297
EDP,Full Fengshui,6.828832441146392e-06,1.0,1.0,1.0,1.0
EDP,w/o Heterogeneous Batching,6.864914402656159e-06,1.005283767294151,1.0075764092393993,1.0056426506519744,1.0
EDP,w/o Heterogeneous Memory,1.1393961111720206e-05,1.668507934543411,1.6703406845222968,2.079980342148169,1.0713041855346652
EDP,w/o Tensor Parallelism,9.49836897588906e-06,1.3909213701975853,1.1779540541259412,1.9369932087238473,1.0
EDP,w/o Layer Fusion,7.122213104767263e-06,1.04296205334504,1.013934498346294,1.0022804088416377,1.1949349261468096
EDP x Cost,Full Fengshui,0.001637325190907304,1.0,1.0,1.0,1.0
EDP x Cost,w/o Heterogeneous Batching,0.0016398847852344362,1.0015632779250856,1.0025655400221158,1.0013437906316012,1.0
EDP x Cost,w/o Heterogeneous Memory,0.0018570030832377198,1.134168761068584,1.0235885693297482,1.12483531539853,1.4156622942986183
EDP x Cost,w/o Tensor Parallelism,0.0018509303346286319,1.1304598163563104,1.0734290286943078,1.2657982408833832,1.0
EDP x Cost,w/o Layer Fusion,0.001714608207042998,1.0472007738993305,1.0174532031344792,1.004482795372197,1.2056906152607576
