metric,objective,cost_aware,config,network,category,value
Energy,energy,False,Full Fengshui,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.268977413386
Energy,energy,False,Full Fengshui,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.0729777222881687
Energy,energy,False,Full Fengshui,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,Full Fengshui,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.016803260417880574
Energy,energy,False,Full Fengshui,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.035973452581322
Energy,energy,False,Full Fengshui,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.006807085377527
Energy,energy,False,Full Fengshui,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,Full Fengshui,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05149004250385968
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.03956398530287633
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3111911253353323
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.0036823267061624333
Energy,energy,False,Full Fengshui,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.022938267862979856
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.12715671179818352
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0083427560922038
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010665506355006295
Energy,energy,False,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08270467435195654
Energy,energy,False,Full Fengshui,mobilenet_v3_small_b1_seq1,cnn,4.896642643368916e-05
Energy,energy,False,Full Fengshui,mobilenet_v3_small_b8_seq1,cnn,0.00037197579584075905
Energy,energy,False,Full Fengshui,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,Full Fengshui,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.272457200500538
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.0722390004961686
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022389844705535894
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.016920762837180522
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0424036477502632
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.006807085377527
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006547960476079382
Energy,energy,False,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.051792156206474683
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.0405502926448067
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3111911253353323
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.0037120889151598833
Energy,energy,False,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.022967643467809804
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.12877063681819928
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0083427560922038
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010741817852286246
Energy,energy,False,w/o Heterogeneous Batching,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08278020277760643
Energy,energy,False,w/o Heterogeneous Batching,mobilenet_v3_small_b1_seq1,cnn,4.896642643368916e-05
Energy,energy,False,w/o Heterogeneous Batching,mobilenet_v3_small_b8_seq1,cnn,0.00037197579584075905
Energy,energy,False,w/o Heterogeneous Batching,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,w/o Heterogeneous Batching,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.28297816879624127
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1270990684054123
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017182059299161275
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.093592855053483
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.186601682034176
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,w/o Heterogeneous Memory,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05149004250385968
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04501842825583053
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3435465086893213
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.004937745825007485
Energy,energy,False,w/o Heterogeneous Memory,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.029454039766355616
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.13449433236357616
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0728061270190605
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.013748529779241094
Energy,energy,False,w/o Heterogeneous Memory,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.10925840875586186
Energy,energy,False,w/o Heterogeneous Memory,mobilenet_v3_small_b1_seq1,cnn,5.4474778433689165e-05
Energy,energy,False,w/o Heterogeneous Memory,mobilenet_v3_small_b8_seq1,cnn,0.00040537330295839697
Energy,energy,False,w/o Heterogeneous Memory,replknet31b_b1_seq1,cnn,0.00283371798970525
Energy,energy,False,w/o Heterogeneous Memory,replknet31b_b8_seq1,cnn,0.020925880679141633
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.268977413386
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.1432909903503106
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002200653022007134
Energy,energy,False,w/o Tensor Parallelism,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.016803260417880574
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0665114200774835
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.158258217323327
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006450207860713182
Energy,energy,False,w/o Tensor Parallelism,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05149004250385968
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.045724176833243035
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3281475101449833
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.0036823267061624333
Energy,energy,False,w/o Tensor Parallelism,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.022938267862979856
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.12927523617588696
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0576506851633447
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010665506355006295
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08270467435195654
Energy,energy,False,w/o Tensor Parallelism,mobilenet_v3_small_b1_seq1,cnn,4.896642643368916e-05
Energy,energy,False,w/o Tensor Parallelism,mobilenet_v3_small_b8_seq1,cnn,0.00037197579584075905
Energy,energy,False,w/o Tensor Parallelism,replknet31b_b1_seq1,cnn,0.0027206970617051503
