metric,framework,geomean,norm_to_full,decode_norm,decode-MoE_norm,prefill_norm,prefill-MoE_norm,cnn_norm,detail
Energy,Fengshui (Full),0.03492755385851297,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260715_051806.json"", ""chiplets"": [""gemmini_like@glb1@pe_x_scale2@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale4@pe_y_scale2"", ""switch_8port@glb4@pe_x_scale3@pe_y_scale4"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""eyeriss_like@glb1@pe_x_scale1@pe_y_scale4"", ""simba_like@glb1@pe_x_scale3@pe_y_scale4"", ""gemmini_like@glb1@pe_x_scale3@pe_y_scale4"", ""eyeriss_like@glb1@pe_x_scale4@pe_y_scale3""]}"
Energy,SCAR-style,0.06059545729286187,1.7348898104438197,4.3722555306573945,1.9077159750351136,1.1736429101619759,1.3208131502072529,1.2155221168830483,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
Energy,Gemini-style,0.06781552648323522,1.9416053800374111,5.161717877802791,2.3157070658414147,1.274043067610569,1.4063368165514076,1.2884082398092782,"{""dram"": ""GDDR7"", ""design"": ""gemmini_like@glb1@pe_x_scale3@pe_y_scale2""}"
Energy x Cost,Fengshui (Full),4.2379104115964426,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260715_075010.json"", ""chiplets"": [""gemmini_like@glb1@pe_x_scale1@pe_y_scale3"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""switch_8port@glb1@pe_x_scale4@pe_y_scale3"", ""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale3"", ""gemmini_like@glb4@pe_x_scale2@pe_y_scale3"", ""gemmini_like@glb4@pe_x_scale3@pe_y_scale4"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale1""]}"
Energy x Cost,SCAR-style,10.086456788902883,2.3800542742250332,5.0516412702239935,2.0661944258576685,1.9628581963332485,1.7833480606810304,2.090285345234611,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
Energy x Cost,Gemini-style,11.179793583835162,2.63804387021567,5.396960074878057,2.2322010637328242,2.134447057979207,1.838825293005544,2.702101729799591,"{""dram"": ""GDDR7"", ""design"": ""gemmini_like@glb1@pe_x_scale1@pe_y_scale2""}"
EDP,Fengshui (Full),6.828832441146392e-06,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260715_101936.json"", ""chiplets"": [""eyeriss_like@glb9@pe_x_scale2@pe_y_scale2"", ""switch_8port@glb1@pe_x_scale4@pe_y_scale3"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale4"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""eyeriss_like@glb16@pe_x_scale2@pe_y_scale2"", ""simba_like@glb4@pe_x_scale4@pe_y_scale4"", ""eyeriss_like@glb4@pe_x_scale4@pe_y_scale3"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale1""]}"
EDP,SCAR-style,9.224634934515554e-05,13.508363272956462,117.4143876488379,22.942988699625733,4.488166513739844,4.514464024570496,8.240758564332122,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
EDP,Gemini-style,9.766595451468137e-05,14.301998966354148,330.57348877850865,65.39966522320964,2.8029772052989377,4.244858268409995,2.326255457621919,"{""dram"": ""GDDR7"", ""design"": ""eyeriss_like@glb4@pe_x_scale3@pe_y_scale4""}"
EDP x Cost,Fengshui (Full),0.001637325190907304,1.0,1.0,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260715_125001.json"", ""chiplets"": [""eyeriss_like@glb9@pe_x_scale3@pe_y_scale4"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale2"", ""gemmini_like@glb4@pe_x_scale3@pe_y_scale4"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""switch_8port@glb4@pe_x_scale4@pe_y_scale2"", ""eyeriss_like@glb9@pe_x_scale1@pe_y_scale2"", ""eyeriss_like@glb16@pe_x_scale1@pe_y_scale2"", ""eyeriss_like@glb4@pe_x_scale2@pe_y_scale1""]}"
EDP x Cost,SCAR-style,0.01585461138498971,9.683239147016403,109.70899004078893,11.392405194403052,2.6951999750497344,2.532088849878545,9.981038110060341,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
EDP x Cost,Gemini-style,0.01895399728854786,11.576195977321236,307.9764935267813,35.71019822744801,2.500457576693285,2.3939867928180876,3.1577539038238394,"{""dram"": ""GDDR7"", ""design"": ""eyeriss_like@glb4@pe_x_scale4@pe_y_scale2""}"
