metric,framework,geomean,norm_to_full,decode_norm,prefill_norm,cnn_norm,detail
Energy,Fengshui (Full),0.05162692840344393,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260407_141127.json"", ""chiplets"": [""gemmini_like@glb1@pe_x_scale1@pe_y_scale3"", ""eyeriss_like@glb1@pe_x_scale4@pe_y_scale2"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale4"", ""simba_like@glb4@pe_x_scale3@pe_y_scale4"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb4@pe_x_scale3@pe_y_scale3"", ""switch_8port@glb1@pe_x_scale3@pe_y_scale3"", ""simba_like@glb1@pe_x_scale4@pe_y_scale3""]}"
Energy,SCAR-style,0.10846346236604289,2.100908687002334,4.745048310890424,1.262695853328627,1.1401371547117967,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
Energy,Gemini-style,0.12382888520373742,2.398532878734599,5.153550582685219,1.3906810440257487,1.5454687377314609,"{""dram"": ""GDDR7"", ""design"": ""gemmini_like@glb1@pe_x_scale2@pe_y_scale3""}"
Energy x Cost,Fengshui (Full),5.699492915874694,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260407_141129.json"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb4@pe_x_scale2@pe_y_scale3"", ""gemmini_like@glb1@pe_x_scale4@pe_y_scale1"", ""switch_8port@glb1@pe_x_scale1@pe_y_scale2"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale2"", ""gemmini_like@glb4@pe_x_scale3@pe_y_scale4"", ""gemmini_like@glb9@pe_x_scale4@pe_y_scale3""]}"
Energy x Cost,SCAR-style,18.148262827716845,3.184189031478365,6.123218047990852,2.0503095238687754,2.076805867280752,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
Energy x Cost,Gemini-style,20.369568756375443,3.5739264978539502,6.557842849773561,2.173134940367476,2.8709966309529498,"{""dram"": ""GDDR7"", ""design"": ""gemmini_like@glb1@pe_x_scale1@pe_y_scale3""}"
EDP,Fengshui (Full),1.0074614479184863e-05,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260407_141130.json"", ""chiplets"": [""eyeriss_like@glb9@pe_x_scale3@pe_y_scale2"", ""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb4@pe_x_scale4@pe_y_scale4"", ""switch_8port@glb4@pe_x_scale2@pe_y_scale4"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale4"", ""simba_like@glb1@pe_x_scale4@pe_y_scale3"", ""eyeriss_like@glb4@pe_x_scale4@pe_y_scale4"", ""eyeriss_like@glb1@pe_x_scale1@pe_y_scale4""]}"
EDP,SCAR-style,0.0001703962579255255,16.913427136847847,98.5277118284176,4.5052113838803125,7.0244276606085725,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
EDP,Gemini-style,0.00013922855631296778,13.819740358365829,195.42376637785944,3.1640738666780006,1.3184128667877388,"{""dram"": ""GDDR7"", ""design"": ""eyeriss_like@glb9@pe_x_scale3@pe_y_scale4""}"
EDP x Cost,Fengshui (Full),0.002196464261718784,1.0,1.0,1.0,1.0,"{""pool_file"": ""chain_summary_20260407_141131.json"", ""chiplets"": [""PIM@glb1@pe_x_scale1@pe_y_scale1"", ""switch_8port@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale2@pe_y_scale2"", ""gemmini_like@glb9@pe_x_scale4@pe_y_scale4"", ""eyeriss_like@glb9@pe_x_scale4@pe_y_scale4"", ""eyeriss_like@glb9@pe_x_scale1@pe_y_scale2"", ""gemmini_like@glb4@pe_x_scale3@pe_y_scale4"", ""eyeriss_like@glb4@pe_x_scale2@pe_y_scale1""]}"
EDP x Cost,SCAR-style,0.02936411937040358,13.368812724239582,75.50968540406718,2.948330813697283,8.616015137179176,"{""dram"": ""GDDR7"", ""chiplets"": [""eyeriss_like@glb1@pe_x_scale1@pe_y_scale1"", ""gemmini_like@glb1@pe_x_scale1@pe_y_scale1"", ""simba_like@glb1@pe_x_scale2@pe_y_scale2""]}"
EDP x Cost,Gemini-style,0.028441082049063364,12.94857491867751,153.54803279595927,2.3444002286370575,2.8090394975067796,"{""dram"": ""GDDR7"", ""design"": ""eyeriss_like@glb4@pe_x_scale3@pe_y_scale3""}"
