metric,framework,geomean,norm_to_full,decode_norm,decode-MoE_norm,prefill_norm,prefill-MoE_norm,cnn_norm,detail
Energy,Fengshui (Full),0.05162692840344394,1.0,1.0,1.0,1.0,1.0,1.0,
Energy,SCAR-style,0.1084634623660429,2.1009086870023337,11.72458536391213,1.9203650085559472,1.2446314975227402,1.2810223919181978,1.1401371547117967,
Energy,Gemini-style,0.12382888520373742,2.3985328787345988,12.700142889116142,2.091242897042988,1.4745586527656782,1.311574661737024,1.5454687377314609,
Energy x Cost,Fengshui (Full),5.699492915874692,1.0,1.0,1.0,1.0,1.0,1.0,
Energy x Cost,SCAR-style,18.14826282771685,3.184189031478367,12.738840903373315,2.9432661533053865,2.1852384871357957,1.9237118366777943,2.076805867280752,
Energy x Cost,Gemini-style,20.36956875637544,3.5739264978539507,13.634711928033415,3.1541042501899805,2.5746173437393205,1.8342591688546106,2.8709966309529498,
EDP,Fengshui (Full),1.0074614479184873e-05,1.0,1.0,1.0,1.0,1.0,1.0,
EDP,SCAR-style,0.00017039625792552579,16.913427136847858,375.1462025041495,25.877137855437326,4.799910906609429,4.22860549046777,7.0244276606085725,
EDP,Gemini-style,0.00013922855631296775,13.819740358365811,729.1119589413726,52.379402089026954,2.481336638667726,4.034665541862931,1.3184128667877388,
EDP x Cost,Fengshui (Full),0.002196464261718785,1.0,1.0,1.0,1.0,1.0,1.0,
EDP x Cost,SCAR-style,0.029364119370403587,13.368812724239579,302.27136758611044,18.862893417111028,3.487719463913714,2.4923606032357015,8.616015137179176,
EDP x Cost,Gemini-style,0.02844108204906337,12.948574918677508,592.5623500540556,39.78821532174323,2.2616727941581383,2.4301536660077927,2.8090394975067796,
