metric,objective,cost_aware,framework,network,category,value
Energy,energy,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.33264013279646193
Energy,energy,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.3413494464801152
Energy,energy,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002224049987082776
Energy,energy,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01835725425452371
Energy,energy,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.2403685408485237
Energy,energy,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.780731581887176
Energy,energy,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006434686232025822
Energy,energy,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05289238802655947
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.07156071128905983
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.553854813974445
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,0.009018554552331083
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.0796956377974147
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.21033416845455044
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,1.599336899632733
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,0.018919610189435578
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.2992331824928576
Energy,energy,False,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,8.058165843368917e-05
Energy,energy,False,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,0.000540239222958497
Energy,energy,False,Fengshui (Full),replknet31b_b1_seq1,cnn,0.0030578511097053497
Energy,energy,False,Fengshui (Full),replknet31b_b8_seq1,cnn,0.021255834279141926
Energy,energy,False,homo-per-net,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.397858731646604
Energy,energy,False,homo-per-net,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.952937943343942
Energy,energy,False,homo-per-net,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.05940000512678284
Energy,energy,False,homo-per-net,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.07187010340127586
Energy,energy,False,homo-per-net,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.559418183467837
Energy,energy,False,homo-per-net,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,11.861670477412913
Energy,energy,False,homo-per-net,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.2312703095347105
Energy,energy,False,homo-per-net,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.26595499741029066
Energy,energy,False,homo-per-net,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.08518879590811014
Energy,energy,False,homo-per-net,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.6585823456134708
