metric,objective,cost_aware,framework,network,category,value
Energy,energy,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.33264013279646193
Energy,energy,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.3413494464801152
Energy,energy,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002224049987082776
Energy,energy,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,0.01835725425452371
Energy,energy,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.2403685408485237
Energy,energy,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.780731581887176
Energy,energy,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006434686232025822
Energy,energy,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05289238802655947
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.07156071128905983
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.553854813974445
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.009018554552331083
Energy,energy,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.0797054730614147
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.21033416845455044
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.599336899632733
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.018919610189435578
Energy,energy,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.2992331824928576
Energy,energy,False,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,8.058165843368917e-05
Energy,energy,False,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,0.000540239222958497
Energy,energy,False,Fengshui (Full),replknet31b_b1_seq1,cnn,0.0030578511097053497
Energy,energy,False,Fengshui (Full),replknet31b_b8_seq1,cnn,0.021255834279141926
Energy,energy,False,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.5542737639327576
Energy,energy,False,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,4.094313669353668
Energy,energy,False,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.1293881205015334
Energy,energy,False,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.15887318927796218
Energy,energy,False,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,2.3459100230851813
Energy,energy,False,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,11.853652724231821
Energy,energy,False,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.5045120106345313
Energy,energy,False,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.5912754075910465
Energy,energy,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.1556452291706417
Energy,energy,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,1.150235988275203
Energy,energy,False,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.03722669552313594
