op,net,arch_target,glb_scale,pe_x_scale,pe_y_scale,tp_degree,dram_loops,glb_tile,resident_words,other_glb_words,need_words,glb_words,fits
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,1,1,2,H4 H4,2048,2048,256,2304,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,1,2,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,1,3,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,1,4,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,2,1,2,H4 H4,2048,2048,256,2304,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,2,2,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,2,3,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,2,4,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,3,1,2,H4 H4,2048,2048,256,2304,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,3,2,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,3,3,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,3,4,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,4,1,2,H4 H4,2048,2048,256,2304,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,4,2,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,4,3,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,16,4,4,2,H2 H2,8192,8192,1024,9216,67108864,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,1,1,1,2,H4 H4,2048,2048,256,2304,4194304,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,1,1,2,2,H2 H2,8192,8192,1024,9216,4194304,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,1,1,3,2,H2 H2,8192,8192,1024,9216,4194304,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,1,1,4,2,H2 H2,8192,8192,1024,9216,4194304,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,1,2,1,2,H4 H4,2048,2048,256,2304,4194304,1
attn_qk,llama3.1_70b_decode_kv1024,eyeriss_like,1,2,2,2,H2 H2,8192,8192,1024,9216,4194304,1
