network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.00023753109206335612
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.01452471013952668
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,2.1054067470523226e-05
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,2.5814700488539353e-05
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.005241788512874701
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.21731028203194352
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,0.0003294861681809699
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,0.00039170364893074847
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.001034306363194411
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.005942580264586736
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,0.000642552692793531
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,0.0009079629276402777
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,4,4,4,0.014940397283907572
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,4,4,4,0.08091617688811432
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,4,4,4,0.01022730468069602
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,4,4,4,0.014120782205495721
mobilenet_v3_small_b1_seq1,eyeriss_like,4,4,4,1.1656249110625847e-09
mobilenet_v3_small_b8_seq1,eyeriss_like,4,4,4,1.177927199191865e-07
replknet31b_b1_seq1,eyeriss_like,4,4,4,7.227425340932086e-06
replknet31b_b8_seq1,eyeriss_like,4,4,4,0.00019499016895634517
