network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp
llama3.1_8b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,0.11973705288836599
llama3.1_8b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,4.27466710319655
llama3.1_8b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,0.00695227717333553
llama3.1_8b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,0.01530794105269906
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,1.7138655825537639
llama3.1_70b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,83.30877182400907
llama3.1_70b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,0.12155802089507489
llama3.1_70b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,0.3869660148990484
qwen3_30b_a3b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,0.3569547864673487
qwen3_30b_a3b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,3.38753312037842
qwen3_30b_a3b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,0.20799621016121236
qwen3_30b_a3b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,1.0615855626148232
qwen3_235b_a22b_prefill_s1024_b1_seq1024,eyeriss_like,4,3,3,5.0755229841447065
qwen3_235b_a22b_prefill_s1024_b8_seq1024,eyeriss_like,4,3,3,37.44794941297118
qwen3_235b_a22b_decode_kv1024_b1_seq1,eyeriss_like,4,3,3,3.8698197555238294
qwen3_235b_a22b_decode_kv1024_b8_seq1,eyeriss_like,4,3,3,22.33401427145143
mobilenet_v3_small_b1_seq1,eyeriss_like,4,3,3,1.295235470316288e-07
mobilenet_v3_small_b8_seq1,eyeriss_like,4,3,3,1.199287880756585e-05
replknet31b_b1_seq1,eyeriss_like,4,3,3,0.0007042823460349216
replknet31b_b8_seq1,eyeriss_like,4,3,3,0.019641133906337996
