network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,0.460432309273038
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,3.36934593887531
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.055167438402008925
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.0668913717231218
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,1.7344389464266683
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,13.166346397132365
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.2166888722399586
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.25536830952069794
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,0.36965757541988603
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,1.674655190960601
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.22019499103570353
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,0.2757579569803947
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,1.3253360843787605
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,5.8321514947374
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,3,3,0.8754209757640805
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,3,3,1.0642175621132426
mobilenet_v3_small_b1_seq1,gemmini_like,1,3,3,0.0002881475876208712
mobilenet_v3_small_b8_seq1,gemmini_like,1,3,3,0.0013162600281550272
replknet31b_b1_seq1,gemmini_like,1,3,3,0.019247090051073258
replknet31b_b8_seq1,gemmini_like,1,3,3,0.14908102282558391
