network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,1,1,42.062471850022284
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,1,1,522.311437363413
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,4.884758748318469
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,8.789588253200007
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,1,1,156.4378500319871
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,1,1,1944.9538855903727
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,19.181756844693457
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,34.062910659279126
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,1,1,32.655547296066864
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,1,1,348.48531164647477
qwen3_30b_a3b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,19.84663262909357
qwen3_30b_a3b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,48.95503585444137
qwen3_235b_a22b_prefill_s1024_b1_seq1024,gemmini_like,1,1,1,133.09901110270854
qwen3_235b_a22b_prefill_s1024_b8_seq1024,gemmini_like,1,1,1,1235.962473971247
qwen3_235b_a22b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,78.93734597225654
qwen3_235b_a22b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,170.9935858106941
mobilenet_v3_small_b1_seq1,gemmini_like,1,1,1,0.02394756014579632
mobilenet_v3_small_b8_seq1,gemmini_like,1,1,1,0.15671129668512193
replknet31b_b1_seq1,gemmini_like,1,1,1,1.4976258912494302
replknet31b_b8_seq1,gemmini_like,1,1,1,11.708190995474045
