net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
comparison,layer2_features_1_block_0_0,start,1e-09,1e-09,0.0,451584,1,1,1
comparison,layer2_features_1_block_0_0,middle,0.0,1e-09,0.0,451584,1,1,1
comparison,layer2_features_1_block_0_0,end,0.0,1e-09,5.0176e-05,451584,1,1,1
comparison,layer2_features_1_block_0_0,single,1e-09,1e-09,5.0176e-05,451584,1,1,1
comparison,layer2_features_1_block_0_0,start,1e-09,1e-09,0.0,14450688,1,32,1
comparison,layer2_features_1_block_0_0,middle,0.0,1e-09,0.0,14450688,1,32,1
comparison,layer2_features_1_block_0_0,end,0.0,1e-09,0.001605632,14450688,1,32,1
comparison,layer2_features_1_block_0_0,single,1e-09,1e-09,0.001605632,14450688,1,32,1
comparison,layer2_features_1_block_0_0,start,1e-09,1e-09,0.0,451584,2,1,1
comparison,layer2_features_1_block_0_0,middle,0.0,1e-09,0.0,451584,2,1,1
comparison,layer2_features_1_block_0_0,end,0.0,1e-09,5.0176e-05,451584,2,1,1
comparison,layer2_features_1_block_0_0,single,1e-09,1e-09,5.0176e-05,451584,2,1,1
comparison,layer2_features_1_block_0_0,start,1e-09,1e-09,0.0,14450688,2,32,1
comparison,layer2_features_1_block_0_0,middle,0.0,1e-09,0.0,14450688,2,32,1
comparison,layer2_features_1_block_0_0,end,0.0,1e-09,0.001605632,14450688,2,32,1
comparison,layer2_features_1_block_0_0,single,1e-09,1e-09,0.001605632,14450688,2,32,1
comparison,layer4_layer1_0_conv3,start,1e-09,1e-09,0.0,51380224,1,1,1
comparison,layer4_layer1_0_conv3,middle,0.0,1e-09,0.0,51380224,1,1,1
comparison,layer4_layer1_0_conv3,end,0.0,1e-09,0.000802816,51380224,1,1,1
comparison,layer4_layer1_0_conv3,single,1e-09,1e-09,0.000802816,51380224,1,1,1
comparison,layer4_layer1_0_conv3,start,1e-09,1e-09,0.0,1644167168,1,32,1
comparison,layer4_layer1_0_conv3,middle,0.0,1e-09,0.0,1644167168,1,32,1
comparison,layer4_layer1_0_conv3,end,0.0,1e-09,0.025690112,1644167168,1,32,1
comparison,layer4_layer1_0_conv3,single,1e-09,1e-09,0.025690112,1644167168,1,32,1
comparison,layer4_layer1_0_conv3,start,1e-09,1e-09,0.0,25690112,2,1,1
comparison,layer4_layer1_0_conv3,middle,0.0,1e-09,0.0,25690112,2,1,1
comparison,layer4_layer1_0_conv3,end,0.0,1e-09,0.000401408,25690112,2,1,1
comparison,layer4_layer1_0_conv3,single,1e-09,1e-09,0.000401408,25690112,2,1,1
comparison,layer4_layer1_0_conv3,start,1e-09,1e-09,0.0,822083584,2,32,1
comparison,layer4_layer1_0_conv3,middle,0.0,1e-09,0.0,822083584,2,32,1
comparison,layer4_layer1_0_conv3,end,0.0,1e-09,0.012845056,822083584,2,32,1
comparison,layer4_layer1_0_conv3,single,1e-09,1e-09,0.012845056,822083584,2,32,1
comparison,layer54_fc,start,1e-09,1e-09,0.0,2048000,1,1,1
comparison,layer54_fc,middle,0.0,1e-09,0.0,2048000,1,1,1
comparison,layer54_fc,end,0.0,1e-09,1e-06,2048000,1,1,1
comparison,layer54_fc,single,1e-09,1e-09,1e-06,2048000,1,1,1
comparison,layer54_fc,start,1e-09,1e-09,0.0,65536000,1,32,1
comparison,layer54_fc,middle,0.0,1e-09,0.0,65536000,1,32,1
comparison,layer54_fc,end,0.0,1e-09,3.2e-05,65536000,1,32,1
comparison,layer54_fc,single,1e-09,1e-09,3.2e-05,65536000,1,32,1
comparison,layer54_fc,start,1e-09,1e-09,0.0,1024000,2,1,1
comparison,layer54_fc,middle,0.0,1e-09,0.0,1024000,2,1,1
comparison,layer54_fc,end,0.0,1e-09,5e-07,1024000,2,1,1
comparison,layer54_fc,single,1e-09,1e-09,5e-07,1024000,2,1,1
comparison,layer54_fc,start,1e-09,1e-09,0.0,32768000,2,32,1
comparison,layer54_fc,middle,0.0,1e-09,0.0,32768000,2,32,1
comparison,layer54_fc,end,0.0,1e-09,1.6e-05,32768000,2,32,1
comparison,layer54_fc,single,1e-09,1e-09,1.6e-05,32768000,2,32,1
comparison_tmp,layer2_layer1_0_conv1,start,1e-09,1e-09,0.0,12845056,1,1,1
comparison_tmp,layer2_layer1_0_conv1,middle,0.0,1e-09,0.0,12845056,1,1,1
comparison_tmp,layer2_layer1_0_conv1,end,0.0,1e-09,0.000200704,12845056,1,1,1
comparison_tmp,layer2_layer1_0_conv1,single,1e-09,1e-09,0.000200704,12845056,1,1,1
comparison_tmp,layer2_layer1_0_conv1,start,1e-09,1e-09,0.0,411041792,1,32,1
comparison_tmp,layer2_layer1_0_conv1,middle,0.0,1e-09,0.0,411041792,1,32,1
comparison_tmp,layer2_layer1_0_conv1,end,0.0,1e-09,0.006422528,411041792,1,32,1
comparison_tmp,layer2_layer1_0_conv1,single,1e-09,1e-09,0.006422528,411041792,1,32,1
comparison_tmp,layer2_layer1_0_conv1,start,1e-09,1e-09,0.0,6422528,2,1,1
comparison_tmp,layer2_layer1_0_conv1,middle,0.0,1e-09,0.0,6422528,2,1,1
comparison_tmp,layer2_layer1_0_conv1,end,0.0,1e-09,0.000100352,6422528,2,1,1
comparison_tmp,layer2_layer1_0_conv1,single,1e-09,1e-09,0.000100352,6422528,2,1,1
comparison_tmp,layer2_layer1_0_conv1,start,1e-09,1e-09,0.0,205520896,2,32,1
comparison_tmp,layer2_layer1_0_conv1,middle,0.0,1e-09,0.0,205520896,2,32,1
comparison_tmp,layer2_layer1_0_conv1,end,0.0,1e-09,0.003211264,205520896,2,32,1
comparison_tmp,layer2_layer1_0_conv1,single,1e-09,1e-09,0.003211264,205520896,2,32,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.000200704,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.000200704,115605504,1,1,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.006422528,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.006422528,3699376128,1,32,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.000100352,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.000100352,57802752,2,1,1
comparison_tmp,layer3_layer1_0_conv2,start,1e-09,1e-09,0.0,1849688064,2,32,1
comparison_tmp,layer3_layer1_0_conv2,middle,0.0,1e-09,0.0,1849688064,2,32,1
comparison_tmp,layer3_layer1_0_conv2,end,0.0,1e-09,0.003211264,1849688064,2,32,1
comparison_tmp,layer3_layer1_0_conv2,single,1e-09,1e-09,0.003211264,1849688064,2,32,1
