network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp,config,gene
llama3.1_8b_prefill_s1024_b1_seq1024,simba_like,4,4,4,0.00014822719473999623,"['VG(simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D||simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7', 'VG(simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D||simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D)', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'GDDR7']}"
llama3.1_8b_prefill_s1024_b8_seq1024,simba_like,9,4,4,0.011159777583952969,"['VG(simba_like@glb9@pe_x_scale4@pe_y_scale4@1@0@2.5D||simba_like@glb9@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'simba_like@glb9@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3', 'simba_like@glb9@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3', 'VG(simba_like@glb9@pe_x_scale4@pe_y_scale4@2@0@2.5D||simba_like@glb9@pe_x_scale4@pe_y_scale4@2@0@2.5D)', 'simba_like@glb9@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_GDDR7_HBM3_HBM3_HBM3', 'simba_like@glb9@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'GDDR7', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,3.992324218230885e-06,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,5.254128157025476e-06,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_70b_prefill_s1024_b1_seq1024,simba_like,4,4,4,0.002325445780394468,"['VG(simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D||simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'VG(simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D||simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D)', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_70b_prefill_s1024_b8_seq1024,simba_like,4,4,4,0.16691004528051187,"['VG(simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D||simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'VG(simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D||simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D)', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'simba_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,6.249561909665743e-05,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,7.851814642551021e-05,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,4,3,4,4.6882364013095606e-06,"['VG(gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2.5D||gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,4,4,4,0.00018981770520433964,"['VG(gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D||gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
