network,arch_target,glb_scale,pe_x_scale,pe_y_scale,edp,config,gene
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,4,3,4,0.041720191052003024,"['VG(gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D||gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D)', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'VG(gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2D||gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2D)', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'LPDDR5']}"
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,4,3,4,2.441934490826549,"['VG(gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D||gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D)', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D@GDDR7_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D@GDDR7_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D@GDDR7_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7', 'VG(gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2D||gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2D)', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@2@0@2D@GDDR7_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale4@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7']}"
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,0.0015812057943438641,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7']}"
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,0.004585337655673095,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'LPDDR5']}"
llama3.1_70b_prefill_s1024_b1_seq1024,eyeriss_like,4,2,4,0.9411405224185417,"['VG(eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@1@0@2D||eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@1@0@2D)', 'eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@1@0@2D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@1@0@2D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'VG(eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@2@0@2D||eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@2@0@2D)', 'eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@2@0@2D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'eyeriss_like@glb4@pe_x_scale2@pe_y_scale4@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5']}"
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,9,4,3,44.82860996883144,"['VG(gemmini_like@glb9@pe_x_scale4@pe_y_scale3@1@0@2D||gemmini_like@glb9@pe_x_scale4@pe_y_scale3@1@0@2D)', 'gemmini_like@glb9@pe_x_scale4@pe_y_scale3@1@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_DDR5', 'gemmini_like@glb9@pe_x_scale4@pe_y_scale3@1@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_DDR5', 'VG(gemmini_like@glb9@pe_x_scale4@pe_y_scale3@2@0@2D||gemmini_like@glb9@pe_x_scale4@pe_y_scale3@2@0@2D)', 'gemmini_like@glb9@pe_x_scale4@pe_y_scale3@2@0@2D@LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_DDR5', 'gemmini_like@glb9@pe_x_scale4@pe_y_scale3@1@0@2D@LPDDR5_LPDDR5@offcp']","{'binary_string': '110111', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'DDR5']}"
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,0.02439351537708236,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'LPDDR5']}"
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,1,2,0.07163718950152174,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7']}"
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,4,3,3,0.0014791402443176433,"['VG(gemmini_like@glb4@pe_x_scale3@pe_y_scale3@1@0@2D||gemmini_like@glb4@pe_x_scale3@pe_y_scale3@1@0@2D)', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale3@2@0@2D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale3@1@0@2D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale3@1@0@2D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale3@1@0@2D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale3@1@0@2D@GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7_GDDR7_LPDDR5@moe_ep1', 'gemmini_like@glb4@pe_x_scale3@pe_y_scale3@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5']}"
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,4,4,3,0.20097007076541898,"['VG(gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D||gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D)', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7_GDDR7@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale3@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'GDDR7']}"
