network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy,config,gene
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,3,3,0.27590022297618116,"['VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale3@2@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale3@2@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,4,4,4,2.496125895845405,"['VG(gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D||gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7', 'VG(gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D||gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D)', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@GDDR7_HBM3_HBM3_HBM3_HBM3_HBM3_GDDR7', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@GDDR7_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'GDDR7']}"
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,0.013919703980080557,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,0.01830838601970934,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5']}"
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,3,4,1.0565562238147312,"['VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale4@1@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale4@1@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,3,3,8.669308062107497,"['VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale3@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,0.05444448566240029,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'DDR5']}"
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,0.06842752197342984,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '110111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'LPDDR5']}"
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,2,3,0.041342674256356925,"['VG(gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D||gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,4,4,4,0.3563500713466066,"['VG(gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D||gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D)', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@2@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3_HBM3@moe_ep1', 'gemmini_like@glb4@pe_x_scale4@pe_y_scale4@1@0@2.5D@HBM3_HBM3@offcp']","{'binary_string': '1111111', 'buffer_config': ['HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3', 'HBM3']}"
