network,arch_target,glb_scale,pe_x_scale,pe_y_scale,energy,config,gene
llama3.1_8b_prefill_s1024_b1_seq1024,gemmini_like,1,3,1,27.83861977841993,"['VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5@offcp']","{'binary_string': '111100', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
llama3.1_8b_prefill_s1024_b8_seq1024,gemmini_like,1,2,2,370.6574128205987,"['VG(gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'VG(gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale2@1@0@2D@LPDDR5_LPDDR5@offcp']","{'binary_string': '110111', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
llama3.1_8b_decode_kv1024_b1_seq1,gemmini_like,1,1,1,1.9755690024029353,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5']}"
llama3.1_8b_decode_kv1024_b8_seq1,gemmini_like,1,1,2,6.748371098704731,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_DDR5', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_GDDR7_GDDR7_DDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'DDR5']}"
llama3.1_70b_prefill_s1024_b1_seq1024,gemmini_like,1,2,3,100.12710335136569,"['VG(gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D||gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale2@pe_y_scale3@1@0@2D@LPDDR5_LPDDR5@offcp']","{'binary_string': '110101', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
llama3.1_70b_prefill_s1024_b8_seq1024,gemmini_like,1,4,1,1382.1364949388478,"['VG(gemmini_like@glb1@pe_x_scale4@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale4@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale4@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale4@pe_y_scale1@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5', 'VG(gemmini_like@glb1@pe_x_scale4@pe_y_scale1@2@0@2.5D||gemmini_like@glb1@pe_x_scale4@pe_y_scale1@2@0@2.5D)', 'gemmini_like@glb1@pe_x_scale4@pe_y_scale1@2@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_GDDR7_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale4@pe_y_scale1@1@0@2D@LPDDR5_LPDDR5@offcp']","{'binary_string': '110111', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'GDDR7', 'LPDDR5', 'LPDDR5']}"
llama3.1_70b_decode_kv1024_b1_seq1,gemmini_like,1,1,2,7.443973765094172,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_GDDR7_GDDR7_GDDR7_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale2@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '110100', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5']}"
llama3.1_70b_decode_kv1024_b8_seq1,gemmini_like,1,1,1,22.19699531177161,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7', 'VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2.5D@GDDR7_GDDR7_GDDR7_LPDDR5_GDDR7_GDDR7_GDDR7', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale1@1@0@2D@GDDR7_GDDR7@offcp']","{'binary_string': '110111', 'buffer_config': ['GDDR7', 'GDDR7', 'GDDR7', 'LPDDR5', 'GDDR7', 'GDDR7', 'GDDR7']}"
qwen3_30b_a3b_prefill_s1024_b1_seq1024,gemmini_like,1,3,2,3.970508448276963,"['VG(gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D||gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2.5D@LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale3@pe_y_scale2@1@0@2D@LPDDR5_LPDDR5@offcp']","{'binary_string': '1111111', 'buffer_config': ['LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
qwen3_30b_a3b_prefill_s1024_b8_seq1024,gemmini_like,1,1,3,108.80149321265849,"['VG(gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D||gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D)', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2.5D@GDDR7_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5_LPDDR5@moe_ep1', 'gemmini_like@glb1@pe_x_scale1@pe_y_scale3@1@0@2D@GDDR7_LPDDR5@offcp']","{'binary_string': '1111111', 'buffer_config': ['GDDR7', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5', 'LPDDR5']}"
