combo,objective,cost_aware,approach,speedup,baseline_energy,spec_energy,energy_overhead,min_speedup_target,draft,verifier
LLaMA8B→70B,energy,False,homo,2.989598443774328,0.9073005136369021,0.933849898410332,0.029261952764698625,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→70B,energy,False,hetero,4.152943792909111,0.9002629499831554,0.9268577476697883,0.029541144270271907,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→Qwen235B,energy,False,homo,3.2970981597329483,0.74800177449172,0.7745856827293587,0.03553989996307548,1.5,llama3.1_8b,qwen3_235b_a22b
LLaMA8B→Qwen235B,energy,False,hetero,3.3543600395215187,0.7473633756107818,0.7739139011912548,0.03552559096005288,1.5,llama3.1_8b,qwen3_235b_a22b
Qwen30B→235B,energy,False,homo,0.0,,,,2.0,qwen3_30b_a3b,qwen3_235b_a22b
Qwen30B→235B,energy,False,hetero,0.0,,,,2.0,qwen3_30b_a3b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,False,homo,0.0,,,,1.0,llama3.1_70b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,False,hetero,0.0,,,,1.0,llama3.1_70b,qwen3_235b_a22b
LLaMA8B→70B,energy,True,homo,2.909471123945006,64.32570036904075,66.5813661049508,0.035066322215990736,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→70B,energy,True,hetero,2.9677185938185087,62.958251919523136,65.21636217134436,0.03586678764060458,2.0,llama3.1_8b,llama3.1_70b
LLaMA8B→Qwen235B,energy,True,homo,4.006462337516124,66.10462806275736,68.35320273003427,0.03401538943902985,1.5,llama3.1_8b,qwen3_235b_a22b
LLaMA8B→Qwen235B,energy,True,hetero,1.5607696518111538,67.31910152849086,69.56935316172421,0.033426643881766506,1.5,llama3.1_8b,qwen3_235b_a22b
Qwen30B→235B,energy,True,homo,2.0334157361060976,48.94837968597841,52.50104162842257,0.07257976597459966,2.0,qwen3_30b_a3b,qwen3_235b_a22b
Qwen30B→235B,energy,True,hetero,2.337235515303704,47.25659839704537,50.962510704522366,0.07842105511573803,2.0,qwen3_30b_a3b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,True,homo,1.239115831143146,49.28512119439027,58.050721398583974,0.17785489802531765,1.0,llama3.1_70b,qwen3_235b_a22b
LLaMA70B→Qwen235B,energy,True,hetero,1.054172849650869,44.47545032804378,53.21990181328297,0.19661299482616873,1.0,llama3.1_70b,qwen3_235b_a22b
