net,layer_name,batch_size,sequence_length,mapper_idx,fused_layer_type,tp_degree,arch_target,glb_scale,pe_x_scale,pe_y_scale,dram_i,dram_o,latency,static_power,dynamic_energy,area,utilization,i_access,w_access,o_access
vit_b16_s197,layer0_q_proj,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.00018047942465421676,0.269047788079524,0.006229852403242669,,1.0,,,
vit_b16_s197,layer0_q_proj,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.00018047942465421676,0.269047788079524,0.006229852403242669,,1.0,,,
vit_b16_s197,layer0_q_proj,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.00018047942465421676,0.269047788079524,0.006229852403242669,,1.0,,,
vit_b16_s197,layer0_q_proj,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.00018047942465421676,0.269047788079524,0.006229852403242669,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000634843698616867,0.2518890260231,0.008520081730813806,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000634843698616867,0.2518890260231,0.008520081730813806,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000634843698616867,0.2518890260231,0.008520081730813806,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000634843698616867,0.2518890260231,0.008520081730813806,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.00012497775277921675,0.09484788753707,0.00043282558410145944,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000524031198616867,0.267421117610862,0.011734130711955736,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000524031198616867,0.267421117610862,0.011734130711955736,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000524031198616867,0.267421117610862,0.011734130711955736,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000524031198616867,0.267421117610862,0.011734130711955736,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.0006385866986168671,0.268475325712068,0.020336627132878957,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.0006385866986168671,0.268475325712068,0.020336627132878957,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.0006385866986168671,0.268475325712068,0.020336627132878957,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.0006385866986168671,0.268475325712068,0.020336627132878957,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.0005765316986168671,0.268547895993193,0.02072245552678658,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.0005765316986168671,0.268547895993193,0.02072245552678658,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.0005765316986168671,0.268547895993193,0.02072245552678658,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.0005765316986168671,0.268547895993193,0.02072245552678658,,1.0,,,
vit_b16_s197,layer0_q_proj,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00016045236368602775,0.269552632258757,0.005399957113230212,,1.0,,,
vit_b16_s197,layer0_q_proj,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00016045236368602775,0.269552632258757,0.005399957113230212,,1.0,,,
vit_b16_s197,layer0_q_proj,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00016045236368602775,0.269552632258757,0.005399957113230212,,1.0,,,
vit_b16_s197,layer0_q_proj,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00016045236368602775,0.269552632258757,0.005399957113230212,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.0006439764547441111,0.256514223464095,0.00923067287129159,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.0006439764547441111,0.256514223464095,0.00923067287129159,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.0006439764547441111,0.256514223464095,0.00923067287129159,,1.0,,,
vit_b16_s197,layer0_attn_qk,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.0006439764547441111,0.256514223464095,0.00923067287129159,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_max,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sub_exp,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_sum,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_softmax_div,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.00012726094181102776,0.0951393642133244,0.0004529424144760507,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.000533163954744111,0.267729956454817,0.01198764244195728,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.000533163954744111,0.267729956454817,0.01198764244195728,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.000533163954744111,0.267729956454817,0.01198764244195728,,1.0,,,
vit_b16_s197,layer0_attn_v,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.000533163954744111,0.267729956454817,0.01198764244195728,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.000538384454744111,0.266719496808642,0.01707491361501614,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.000538384454744111,0.266719496808642,0.01707491361501614,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.000538384454744111,0.266719496808642,0.01707491361501614,,1.0,,,
vit_b16_s197,layer0_gate_proj,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.000538384454744111,0.266719496808642,0.01707491361501614,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,single,2,PIM,1,1,1,GDDR7,GDDR7,0.000536315954744111,0.26844724781462,0.01892731749861587,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,start,2,PIM,1,1,1,GDDR7,GDDR7,0.000536315954744111,0.26844724781462,0.01892731749861587,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,middle,2,PIM,1,1,1,GDDR7,GDDR7,0.000536315954744111,0.26844724781462,0.01892731749861587,,1.0,,,
vit_b16_s197,layer0_down_proj,1,1,0,end,2,PIM,1,1,1,GDDR7,GDDR7,0.000536315954744111,0.26844724781462,0.01892731749861587,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000280770860346365,0.270537430088915,0.010209268368251041,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000280770860346365,0.270537430088915,0.010209268368251041,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000280770860346365,0.270537430088915,0.010209268368251041,,1.0,,,
vit_h14_s257,layer0_q_proj,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000280770860346365,0.270537430088915,0.010209268368251041,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000852333941385468,0.249847325566169,0.012047799616827365,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,start,1,PIM,1,1,1,GDDR7,GDDR7,0.000852333941385468,0.249847325566169,0.012047799616827365,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,middle,1,PIM,1,1,1,GDDR7,GDDR7,0.000852333941385468,0.249847325566169,0.012047799616827365,,1.0,,,
vit_h14_s257,layer0_attn_qk,1,1,0,end,1,PIM,1,1,1,GDDR7,GDDR7,0.000852333941385468,0.249847325566169,0.012047799616827365,,1.0,,,
vit_h14_s257,layer0_softmax_max,1,1,0,single,1,PIM,1,1,1,GDDR7,GDDR7,0.000181211469721367,0.0900666916262301,0.0005322248081658404,,1.0,,,
